"Agent","AgentID","Cond","Qnum","Confidence"
"GPT",2,"4c",16,100
"GPT",2,"4c",17,85
"GPT",2,"4c",18,80
"GPT",2,"4c",19,90
"GPT",2,"4c",20,100
"GPT",2,"2c",1,100
"GPT",2,"2c",2,100
"GPT",2,"2c",3,100
"GPT",2,"2c",4,100
"GPT",2,"2c",5,90
"GPT",2,"2c",6,100
"GPT",2,"2c",7,100
"GPT",2,"2c",8,100
"GPT",2,"2c",9,100
"GPT",2,"2c",10,80
"GPT",2,"2c",11,100
"GPT",2,"2c",12,100
"GPT",2,"2c",13,100
"GPT",2,"2c",14,100
"GPT",2,"2c",15,90
"GPT",2,"2c",16,100
"GPT",2,"2c",17,95
"GPT",2,"2c",18,90
"GPT",2,"2c",19,100
"GPT",2,"2c",20,100
"GPT",3,"op",1,100
"GPT",3,"op",2,100
"GPT",3,"op",3,100
"GPT",3,"op",4,100
"GPT",3,"op",5,80
"GPT",3,"op",6,80
"GPT",3,"op",7,100
"GPT",3,"op",8,100
"GPT",3,"op",9,90
"GPT",3,"op",10,90
"GPT",3,"op",11,100
"GPT",3,"op",12,100
"GPT",3,"op",13,80
"GPT",3,"op",14,85
"GPT",3,"op",15,100
"GPT",3,"op",16,90
"GPT",3,"op",17,80
"GPT",3,"op",18,80
"GPT",3,"op",19,80
"GPT",3,"op",20,100
"GPT",3,"4c",1,100
"GPT",3,"4c",2,100
"GPT",3,"4c",3,100
"GPT",3,"4c",4,100
"GPT",3,"4c",5,100
"GPT",3,"4c",6,100
"GPT",3,"4c",7,100
"GPT",3,"4c",8,100
"GPT",3,"4c",9,100
"GPT",3,"4c",10,100
"GPT",3,"4c",11,100
"GPT",3,"4c",12,100
"GPT",3,"4c",13,90
"GPT",3,"4c",14,80
"GPT",3,"4c",15,100
"GPT",3,"4c",16,100
"GPT",3,"4c",17,85
"GPT",3,"4c",18,80
"GPT",3,"4c",19,80
"GPT",3,"4c",20,100
"GPT",3,"2c",1,100
"GPT",3,"2c",2,100
"GPT",3,"2c",3,100
"GPT",3,"2c",4,100
"GPT",3,"2c",5,90
"GPT",3,"2c",6,100
"GPT",3,"2c",7,100
"GPT",3,"2c",8,100
"GPT",3,"2c",9,100
"GPT",3,"2c",10,100
"GPT",3,"2c",11,100
"GPT",3,"2c",12,80
"GPT",3,"2c",13,100
"GPT",3,"2c",14,90
"GPT",3,"2c",15,80
"GPT",3,"2c",16,95
"GPT",3,"2c",17,90
"GPT",3,"2c",18,80
"GPT",3,"2c",19,90
"GPT",3,"2c",20,100
"GPT",4,"op",1,100
"GPT",4,"op",2,100
"GPT",4,"op",3,100
"GPT",4,"op",4,100
"GPT",4,"op",5,90
"GPT",4,"op",6,90
"GPT",4,"op",7,100
"GPT",4,"op",8,100
"GPT",4,"op",9,99
"GPT",4,"op",10,90
"GPT",4,"op",11,100
"GPT",4,"op",12,100
"GPT",4,"op",13,80
"GPT",4,"op",14,90
"GPT",4,"op",15,100
"GPT",4,"op",16,100
"GPT",4,"op",17,80
"GPT",4,"op",18,80
"GPT",4,"op",19,80
"GPT",4,"op",20,100
"GPT",4,"4c",1,100
"GPT",4,"4c",2,100
"GPT",4,"4c",3,100
"GPT",4,"4c",4,100
"GPT",4,"4c",5,100
"GPT",4,"4c",6,100
"GPT",4,"4c",7,100
"GPT",4,"4c",8,100
"GPT",4,"4c",9,100
"GPT",4,"4c",10,100
"GPT",4,"4c",11,100
"GPT",4,"4c",12,100
"GPT",4,"4c",13,100
"GPT",4,"4c",14,100
"GPT",4,"4c",15,100
"GPT",4,"4c",16,100
"GPT",4,"4c",17,90
"GPT",4,"4c",18,80
"GPT",4,"4c",19,80
"GPT",4,"4c",20,100
"GPT",4,"2c",1,100
"GPT",4,"2c",2,100
"GPT",4,"2c",3,100
"GPT",4,"2c",4,100
"GPT",4,"2c",5,90
"GPT",4,"2c",6,100
"GPT",4,"2c",7,100
"GPT",4,"2c",8,100
"GPT",4,"2c",9,100
"GPT",4,"2c",10,100
"GPT",4,"2c",11,100
"GPT",4,"2c",12,100
"GPT",4,"2c",13,100
"GPT",4,"2c",14,90
"GPT",4,"2c",15,85
"GPT",4,"2c",16,95
"GPT",4,"2c",17,90
"GPT",4,"2c",18,100
"GPT",4,"2c",19,90
"GPT",4,"2c",20,100
"GPT",5,"op",1,100
"GPT",5,"op",2,100
"GPT",5,"op",3,100
"GPT",5,"op",4,100
"GPT",5,"op",5,90
"GPT",5,"op",6,90
"GPT",5,"op",7,100
"GPT",5,"op",8,100
"GPT",5,"op",9,90
"GPT",5,"op",10,100
"GPT",5,"op",11,100
"GPT",5,"op",12,100
"GPT",5,"op",13,80
"GPT",5,"op",14,90
"GPT",5,"op",15,100
"GPT",5,"op",16,100
"GPT",5,"op",17,90
"GPT",5,"op",18,90
"GPT",5,"op",19,80
"GPT",5,"op",20,100
"GPT",5,"4c",1,100
"GPT",5,"4c",2,100
"GPT",5,"4c",3,100
"GPT",5,"4c",4,100
"GPT",5,"4c",5,100
"GPT",5,"4c",6,100
"GPT",5,"4c",7,100
"GPT",5,"4c",8,100
"GPT",5,"4c",9,100
"GPT",5,"4c",10,100
"GPT",5,"4c",11,100
"GPT",5,"4c",12,100
"GPT",5,"4c",13,100
"GPT",5,"4c",14,90
"GPT",5,"4c",15,100
"GPT",5,"4c",16,100
"GPT",5,"4c",17,85
"GPT",5,"4c",18,80
"GPT",5,"4c",19,100
"GPT",5,"4c",20,100
"GPT",5,"2c",1,100
"GPT",5,"2c",2,100
"GPT",5,"2c",3,100
"GPT",5,"2c",4,100
"GPT",5,"2c",5,90
"GPT",5,"2c",6,100
"GPT",5,"2c",7,100
"GPT",5,"2c",8,100
"GPT",5,"2c",9,100
"GPT",5,"2c",10,100
"GPT",5,"2c",11,100
"GPT",5,"2c",12,100
"GPT",5,"2c",13,100
"GPT",5,"2c",14,95
"GPT",5,"2c",15,100
"GPT",5,"2c",16,80
"GPT",5,"2c",17,95
"GPT",5,"2c",18,90
"GPT",5,"2c",19,95
"GPT",5,"2c",20,100
"GPT",6,"op",1,100
"GPT",6,"op",2,100
"GPT",6,"op",3,100
"GPT",6,"op",4,100
"GPT",6,"op",5,90
"GPT",6,"op",6,90
"GPT",6,"op",7,100
"GPT",6,"op",8,100
"GPT",6,"op",9,100
"GPT",6,"op",10,90
"GPT",6,"op",11,100
"GPT",6,"op",12,100
"GPT",6,"op",13,95
"GPT",6,"op",14,85
"GPT",6,"op",15,100
"GPT",6,"op",16,90
"GPT",6,"op",17,80
"GPT",6,"op",18,80
"GPT",6,"op",19,80
"GPT",6,"op",20,100
"GPT",6,"4c",1,100
"GPT",6,"4c",2,100
"GPT",6,"4c",3,100
"GPT",6,"4c",4,100
"GPT",6,"4c",5,100
"GPT",6,"4c",6,100
"GPT",6,"4c",7,100
"GPT",6,"4c",8,100
"GPT",6,"4c",9,100
"GPT",6,"4c",10,100
"GPT",6,"4c",11,100
"GPT",6,"4c",12,100
"GPT",6,"4c",13,100
"GPT",6,"4c",14,80
"GPT",6,"4c",15,100
"GPT",6,"4c",16,100
"GPT",6,"4c",17,80
"GPT",6,"4c",18,80
"GPT",6,"4c",19,80
"GPT",6,"4c",20,100
"GPT",6,"2c",1,100
"GPT",6,"2c",2,100
"GPT",6,"2c",3,100
"GPT",6,"2c",4,100
"GPT",6,"2c",5,85
"GPT",6,"2c",6,100
"GPT",6,"2c",7,100
"GPT",6,"2c",8,100
"GPT",6,"2c",9,100
"GPT",6,"2c",10,100
"GPT",6,"2c",11,100
"GPT",6,"2c",12,100
"GPT",6,"2c",13,100
"GPT",6,"2c",14,100
"GPT",6,"2c",15,80
"GPT",6,"2c",16,90
"GPT",6,"2c",17,95
"GPT",6,"2c",18,85
"GPT",6,"2c",19,100
"GPT",6,"2c",20,100
"GPT",7,"op",1,90
"GPT",7,"op",2,100
"GPT",7,"op",3,100
"GPT",7,"op",4,100
"GPT",7,"op",5,100
"GPT",7,"op",6,80
"GPT",7,"op",7,100
"GPT",7,"op",8,100
"GPT",7,"op",9,90
"GPT",7,"op",10,100
"GPT",7,"op",11,100
"GPT",7,"op",12,100
"GPT",7,"op",13,70
"GPT",7,"op",14,85
"GPT",7,"op",15,100
"GPT",7,"op",16,90
"GPT",7,"op",17,85
"GPT",7,"op",18,90
"GPT",7,"op",19,60
"GPT",7,"op",20,100
"GPT",7,"4c",1,100
"GPT",7,"4c",2,100
"GPT",7,"4c",3,100
"GPT",7,"4c",4,100
"GPT",7,"4c",5,100
"GPT",7,"4c",6,100
"GPT",7,"4c",7,100
"GPT",7,"4c",8,100
"GPT",7,"4c",9,100
"GPT",7,"4c",10,100
"GPT",7,"4c",11,100
"GPT",7,"4c",12,100
"GPT",7,"4c",13,90
"GPT",7,"4c",14,90
"GPT",7,"4c",15,100
"GPT",7,"4c",16,80
"GPT",7,"4c",17,80
"GPT",7,"4c",18,90
"GPT",7,"4c",19,80
"GPT",7,"4c",20,100
"GPT",7,"2c",1,100
"GPT",7,"2c",2,100
"GPT",7,"2c",3,100
"GPT",7,"2c",4,100
"GPT",7,"2c",5,90
"GPT",7,"2c",6,100
"GPT",7,"2c",7,100
"GPT",7,"2c",8,100
"GPT",7,"2c",9,100
"GPT",7,"2c",10,95
"GPT",7,"2c",11,100
"GPT",7,"2c",12,100
"GPT",7,"2c",13,90
"GPT",7,"2c",14,90
"GPT",7,"2c",15,70
"GPT",7,"2c",16,100
"GPT",7,"2c",17,90
"GPT",7,"2c",18,90
"GPT",7,"2c",19,90
"GPT",7,"2c",20,100
"GPT",8,"op",1,100
"GPT",8,"op",2,100
"GPT",8,"op",3,100
"GPT",8,"op",4,100
"GPT",8,"op",5,100
"GPT",8,"op",6,90
"GPT",8,"op",7,100
"GPT",8,"op",8,100
"GPT",8,"op",9,100
"GPT",8,"op",10,100
"GPT",8,"op",11,100
"GPT",8,"op",12,100
"GPT",8,"op",13,80
"GPT",8,"op",14,100
"GPT",8,"op",15,100
"GPT",8,"op",16,100
"GPT",8,"op",17,80
"GPT",8,"op",18,90
"GPT",8,"op",19,80
"GPT",8,"op",20,100
"GPT",8,"4c",1,100
"GPT",8,"4c",2,100
"GPT",8,"4c",3,100
"GPT",8,"4c",4,100
"GPT",8,"4c",5,100
"GPT",8,"4c",6,100
"GPT",8,"4c",7,100
"GPT",8,"4c",8,100
"GPT",8,"4c",9,100
"GPT",8,"4c",10,100
"GPT",8,"4c",11,100
"GPT",8,"4c",12,98
"GPT",8,"4c",13,90
"GPT",8,"4c",14,90
"GPT",8,"4c",15,100
"GPT",8,"4c",16,90
"GPT",8,"4c",17,80
"GPT",8,"4c",18,80
"GPT",8,"4c",19,80
"GPT",8,"4c",20,100
"GPT",8,"2c",1,100
"GPT",8,"2c",2,100
"GPT",8,"2c",3,100
"GPT",8,"2c",4,100
"GPT",8,"2c",5,80
"GPT",8,"2c",6,100
"GPT",8,"2c",7,100
"GPT",8,"2c",8,100
"GPT",8,"2c",9,100
"GPT",8,"2c",10,100
"GPT",8,"2c",11,100
"GPT",8,"2c",12,100
"GPT",8,"2c",13,100
"GPT",8,"2c",14,85
"GPT",8,"2c",15,80
"GPT",8,"2c",16,95
"GPT",8,"2c",17,90
"GPT",8,"2c",18,90
"GPT",8,"2c",19,100
"GPT",8,"2c",20,100
"GPT",9,"op",1,100
"GPT",9,"op",2,100
"GPT",9,"op",3,80
"GPT",9,"op",4,100
"GPT",9,"op",5,90
"GPT",9,"op",6,80
"GPT",9,"op",7,100
"GPT",9,"op",8,100
"GPT",9,"op",9,100
"GPT",9,"op",10,100
"GPT",9,"op",11,100
"GPT",9,"op",12,100
"GPT",9,"op",13,80
"GPT",9,"op",14,90
"GPT",9,"op",15,100
"GPT",9,"op",16,100
"GPT",9,"op",17,80
"GPT",9,"op",18,95
"GPT",9,"op",19,80
"GPT",9,"op",20,100
"GPT",9,"4c",1,100
"GPT",9,"4c",2,100
"GPT",9,"4c",3,100
"GPT",9,"4c",4,100
"GPT",9,"4c",5,100
"GPT",9,"4c",6,100
"GPT",9,"4c",7,100
"GPT",9,"4c",8,100
"GPT",9,"4c",9,100
"GPT",9,"4c",10,100
"GPT",9,"4c",11,100
"GPT",9,"4c",12,100
"GPT",9,"4c",13,100
"GPT",9,"4c",14,90
"GPT",9,"4c",15,100
"GPT",9,"4c",16,100
"GPT",9,"4c",17,70
"GPT",9,"4c",18,80
"GPT",9,"4c",19,90
"GPT",9,"4c",20,100
"GPT",9,"2c",1,100
"GPT",9,"2c",2,100
"GPT",9,"2c",3,100
"GPT",9,"2c",4,100
"GPT",9,"2c",5,90
"GPT",9,"2c",6,100
"GPT",9,"2c",7,100
"GPT",9,"2c",8,100
"GPT",9,"2c",9,100
"GPT",9,"2c",10,90
"GPT",9,"2c",11,100
"GPT",9,"2c",12,100
"GPT",9,"2c",13,100
"GPT",9,"2c",14,100
"GPT",9,"2c",15,70
"GPT",9,"2c",16,80
"GPT",9,"2c",17,95
"GPT",9,"2c",18,80
"GPT",9,"2c",19,80
"GPT",9,"2c",20,100
"GPT",10,"op",1,100
"GPT",10,"op",2,100
"GPT",10,"op",3,90
"GPT",10,"op",4,100
"GPT",10,"op",5,90
"GPT",10,"op",6,80
"GPT",10,"op",7,100
"GPT",10,"op",8,100
"GPT",10,"op",9,85
"GPT",10,"op",10,90
"GPT",10,"op",11,100
"GPT",10,"op",12,100
"GPT",10,"op",13,80
"GPT",10,"op",14,98
"GPT",10,"op",15,100
"GPT",10,"op",16,100
"GPT",10,"op",17,80
"GPT",10,"op",18,98
"GPT",10,"op",19,80
"GPT",10,"op",20,100
"GPT",10,"4c",1,100
"GPT",10,"4c",2,100
"GPT",10,"4c",3,100
"GPT",10,"4c",4,100
"GPT",10,"4c",5,100
"GPT",10,"4c",6,100
"GPT",10,"4c",7,100
"GPT",10,"4c",8,100
"GPT",10,"4c",9,100
"GPT",10,"4c",10,100
"GPT",10,"4c",11,100
"GPT",10,"4c",12,100
"GPT",10,"4c",13,90
"GPT",10,"4c",14,80
"GPT",10,"4c",15,100
"GPT",10,"4c",16,90
"GPT",10,"4c",17,80
"GPT",10,"4c",18,85
"GPT",10,"4c",19,100
"GPT",10,"4c",20,100
"GPT",10,"2c",1,100
"GPT",10,"2c",2,100
"GPT",10,"2c",3,100
"GPT",10,"2c",4,100
"GPT",10,"2c",5,85
"GPT",10,"2c",6,100
"GPT",10,"2c",7,100
"GPT",10,"2c",8,100
"GPT",10,"2c",9,100
"GPT",10,"2c",10,100
"GPT",10,"2c",11,100
"GPT",10,"2c",12,100
"GPT",10,"2c",13,100
"GPT",10,"2c",14,95
"GPT",10,"2c",15,80
"GPT",10,"2c",16,80
"GPT",10,"2c",17,95
"GPT",10,"2c",18,80
"GPT",10,"2c",19,90
"GPT",10,"2c",20,100
"GPT",11,"op",1,100
"GPT",11,"op",2,100
"GPT",11,"op",3,100
"GPT",11,"op",4,100
"GPT",11,"op",5,100
"GPT",11,"op",6,100
"GPT",11,"op",7,100
"GPT",11,"op",8,100
"GPT",11,"op",9,95
"GPT",11,"op",10,100
"GPT",11,"op",11,100
"GPT",11,"op",12,100
"GPT",11,"op",13,80
"GPT",11,"op",14,85
"GPT",11,"op",15,100
"GPT",11,"op",16,90
"GPT",11,"op",17,90
"GPT",11,"op",18,85
"GPT",11,"op",19,50
"GPT",11,"op",20,100
"GPT",11,"4c",1,100
"GPT",11,"4c",2,100
"GPT",11,"4c",3,100
"GPT",11,"4c",4,100
"GPT",11,"4c",5,100
"GPT",11,"4c",6,100
"GPT",11,"4c",7,100
"GPT",11,"4c",8,100
"GPT",11,"4c",9,100
"GPT",11,"4c",10,100
"GPT",11,"4c",11,100
"GPT",11,"4c",12,100
"GPT",11,"4c",13,100
"GPT",11,"4c",14,80
"GPT",11,"4c",15,100
"GPT",11,"4c",16,100
"GPT",11,"4c",17,85
"GPT",11,"4c",18,90
"GPT",11,"4c",19,100
"GPT",11,"4c",20,100
"GPT",11,"2c",1,100
"GPT",11,"2c",2,100
"GPT",11,"2c",3,100
"GPT",11,"2c",4,100
"GPT",11,"2c",5,90
"GPT",11,"2c",6,100
"GPT",11,"2c",7,100
"GPT",11,"2c",8,100
"GPT",11,"2c",9,100
"GPT",11,"2c",10,100
"GPT",11,"2c",11,100
"GPT",11,"2c",12,100
"GPT",11,"2c",13,100
"GPT",11,"2c",14,80
"GPT",11,"2c",15,80
"GPT",11,"2c",16,90
"GPT",11,"2c",17,85
"GPT",11,"2c",18,90
"GPT",11,"2c",19,100
"GPT",11,"2c",20,100
"GPT",12,"op",1,100
"GPT",12,"op",2,100
"GPT",12,"op",3,90
"GPT",12,"op",4,100
"GPT",12,"op",5,80
"GPT",12,"op",6,90
"GPT",12,"op",7,100
"GPT",12,"op",8,100
"GPT",12,"op",9,100
"GPT",12,"op",10,100
"GPT",12,"op",11,100
"GPT",12,"op",12,100
"GPT",12,"op",13,80
"GPT",12,"op",14,85
"GPT",12,"op",15,100
"GPT",12,"op",16,100
"GPT",12,"op",17,80
"GPT",12,"op",18,100
"GPT",12,"op",19,85
"GPT",12,"op",20,100
"GPT",12,"4c",1,100
"GPT",12,"4c",2,100
"GPT",12,"4c",3,100
"GPT",12,"4c",4,100
"GPT",12,"4c",5,100
"GPT",12,"4c",6,100
"GPT",12,"4c",7,100
"GPT",12,"4c",8,100
"GPT",12,"4c",9,100
"GPT",12,"4c",10,100
"GPT",12,"4c",11,100
"GPT",12,"4c",12,100
"GPT",12,"4c",13,90
"GPT",12,"4c",14,80
"GPT",12,"4c",15,100
"GPT",12,"4c",16,90
"GPT",12,"4c",17,90
"GPT",12,"4c",18,80
"GPT",12,"4c",19,100
"GPT",12,"4c",20,100
"GPT",12,"2c",1,100
"GPT",12,"2c",2,100
"GPT",12,"2c",3,100
"GPT",12,"2c",4,100
"GPT",12,"2c",5,90
"GPT",12,"2c",6,100
"GPT",12,"2c",7,100
"GPT",12,"2c",8,100
"GPT",12,"2c",9,100
"GPT",12,"2c",10,100
"GPT",12,"2c",11,100
"GPT",12,"2c",12,100
"GPT",12,"2c",13,100
"GPT",12,"2c",14,99
"GPT",12,"2c",15,80
"GPT",12,"2c",16,100
"GPT",12,"2c",17,95
"GPT",12,"2c",18,80
"GPT",12,"2c",19,100
"GPT",12,"2c",20,100
"GPT",13,"op",1,100
"GPT",13,"op",2,100
"GPT",13,"op",3,100
"GPT",13,"op",4,100
"GPT",13,"op",5,80
"GPT",13,"op",6,80
"GPT",13,"op",7,100
"GPT",13,"op",8,100
"GPT",13,"op",9,98
"GPT",13,"op",10,100
"GPT",13,"op",11,100
"GPT",13,"op",12,100
"GPT",13,"op",13,90
"GPT",13,"op",14,95
"GPT",13,"op",15,100
"GPT",13,"op",16,90
"GPT",13,"op",17,80
"GPT",13,"op",18,80
"GPT",13,"op",19,50
"GPT",13,"op",20,100
"GPT",13,"4c",1,100
"GPT",13,"4c",2,100
"GPT",13,"4c",3,100
"GPT",13,"4c",4,100
"GPT",13,"4c",5,100
"GPT",13,"4c",6,100
"GPT",13,"4c",7,100
"GPT",13,"4c",8,100
"GPT",13,"4c",9,100
"GPT",13,"4c",10,100
"GPT",13,"4c",11,100
"GPT",13,"4c",12,100
"GPT",13,"4c",13,100
"GPT",13,"4c",14,80
"GPT",13,"4c",15,100
"GPT",13,"4c",16,80
"GPT",13,"4c",17,95
"GPT",13,"4c",18,95
"GPT",13,"4c",19,100
"GPT",13,"4c",20,100
"GPT",13,"2c",1,100
"GPT",13,"2c",2,100
"GPT",13,"2c",3,100
"GPT",13,"2c",4,100
"GPT",13,"2c",5,90
"GPT",13,"2c",6,100
"GPT",13,"2c",7,100
"GPT",13,"2c",8,99
"GPT",13,"2c",9,100
"GPT",13,"2c",10,90
"GPT",13,"2c",11,100
"GPT",13,"2c",12,100
"GPT",13,"2c",13,100
"GPT",13,"2c",14,80
"GPT",13,"2c",15,80
"GPT",13,"2c",16,90
"GPT",13,"2c",17,95
"GPT",13,"2c",18,80
"GPT",13,"2c",19,85
"GPT",13,"2c",20,100
"GPT",14,"op",1,100
"GPT",14,"op",2,100
"GPT",14,"op",3,100
"GPT",14,"op",4,100
"GPT",14,"op",5,80
"GPT",14,"op",6,100
"GPT",14,"op",7,100
"GPT",14,"op",8,100
"GPT",14,"op",9,90
"GPT",14,"op",10,95
"GPT",14,"op",11,100
"GPT",14,"op",12,100
"GPT",14,"op",13,60
"GPT",14,"op",14,100
"GPT",14,"op",15,100
"GPT",14,"op",16,90
"GPT",14,"op",17,80
"GPT",14,"op",18,100
"GPT",14,"op",19,80
"GPT",14,"op",20,100
"GPT",14,"4c",1,100
"GPT",14,"4c",2,100
"GPT",14,"4c",3,100
"GPT",14,"4c",4,100
"GPT",14,"4c",5,100
"GPT",14,"4c",6,100
"GPT",14,"4c",7,100
"GPT",14,"4c",8,100
"GPT",14,"4c",9,100
"GPT",14,"4c",10,100
"GPT",14,"4c",11,100
"GPT",14,"4c",12,100
"GPT",14,"4c",13,90
"GPT",14,"4c",14,100
"GPT",14,"4c",15,100
"GPT",14,"4c",16,100
"GPT",14,"4c",17,80
"GPT",14,"4c",18,90
"GPT",14,"4c",19,85
"GPT",14,"4c",20,100
"GPT",14,"2c",1,100
"GPT",14,"2c",2,100
"GPT",14,"2c",3,100
"GPT",14,"2c",4,100
"GPT",14,"2c",5,80
"GPT",14,"2c",6,100
"GPT",14,"2c",7,100
"GPT",14,"2c",8,100
"GPT",14,"2c",9,100
"GPT",14,"2c",10,90
"GPT",14,"2c",11,100
"GPT",14,"2c",12,100
"GPT",14,"2c",13,80
"GPT",14,"2c",14,100
"GPT",14,"2c",15,80
"GPT",14,"2c",16,90
"GPT",14,"2c",17,95
"GPT",14,"2c",18,90
"GPT",14,"2c",19,90
"GPT",14,"2c",20,100
"GPT",15,"op",1,100
"GPT",15,"op",2,100
"GPT",15,"op",3,100
"GPT",15,"op",4,100
"GPT",15,"op",5,80
"GPT",15,"op",6,100
"GPT",15,"op",7,100
"GPT",15,"op",8,100
"GPT",15,"op",9,90
"GPT",15,"op",10,95
"GPT",15,"op",11,100
"GPT",15,"op",12,100
"GPT",15,"op",13,80
"GPT",15,"op",14,100
"GPT",15,"op",15,100
"GPT",15,"op",16,90
"GPT",15,"op",17,80
"GPT",15,"op",18,100
"GPT",15,"op",19,60
"GPT",15,"op",20,100
"GPT",15,"4c",1,100
"GPT",15,"4c",2,100
"GPT",15,"4c",3,100
"GPT",15,"4c",4,100
"GPT",15,"4c",5,100
"GPT",15,"4c",6,100
"GPT",15,"4c",7,100
"GPT",15,"4c",8,100
"GPT",15,"4c",9,100
"GPT",15,"4c",10,100
"GPT",15,"4c",11,100
"GPT",15,"4c",12,100
"GPT",15,"4c",13,100
"GPT",15,"4c",14,80
"GPT",15,"4c",15,100
"GPT",15,"4c",16,100
"GPT",15,"4c",17,85
"GPT",15,"4c",18,90
"GPT",15,"4c",19,100
"GPT",15,"4c",20,100
"GPT",15,"2c",1,100
"GPT",15,"2c",2,100
"GPT",15,"2c",3,100
"GPT",15,"2c",4,100
"GPT",15,"2c",5,90
"GPT",15,"2c",6,100
"GPT",15,"2c",7,100
"GPT",15,"2c",8,100
"GPT",15,"2c",9,100
"GPT",15,"2c",10,100
"GPT",15,"2c",11,100
"GPT",15,"2c",12,100
"GPT",15,"2c",13,100
"GPT",15,"2c",14,90
"GPT",15,"2c",15,80
"GPT",15,"2c",16,80
"GPT",15,"2c",17,90
"GPT",15,"2c",18,80
"GPT",15,"2c",19,90
"GPT",15,"2c",20,100
"GPT",16,"op",1,100
"GPT",16,"op",2,100
"GPT",16,"op",3,100
"GPT",16,"op",4,100
"GPT",16,"op",5,90
"GPT",16,"op",6,90
"GPT",16,"op",7,100
"GPT",16,"op",8,100
"GPT",16,"op",9,95
"GPT",16,"op",10,100
"GPT",16,"op",11,100
"GPT",16,"op",12,100
"GPT",16,"op",13,70
"GPT",16,"op",14,90
"GPT",16,"op",15,100
"GPT",16,"op",16,100
"GPT",16,"op",17,70
"GPT",16,"op",18,90
"GPT",16,"op",19,80
"GPT",16,"op",20,100
"GPT",16,"4c",1,100
"GPT",16,"4c",2,100
"GPT",16,"4c",3,100
"GPT",16,"4c",4,100
"GPT",16,"4c",5,100
"GPT",16,"4c",6,100
"GPT",16,"4c",7,100
"GPT",16,"4c",8,100
"GPT",16,"4c",9,100
"GPT",16,"4c",10,100
"GPT",16,"4c",11,100
"GPT",16,"4c",12,100
"GPT",16,"4c",13,100
"GPT",16,"4c",14,80
"GPT",16,"4c",15,100
"GPT",16,"4c",16,100
"GPT",16,"4c",17,85
"GPT",16,"4c",18,80
"GPT",16,"4c",19,100
"GPT",16,"4c",20,100
"GPT",16,"2c",1,100
"GPT",16,"2c",2,100
"GPT",16,"2c",3,100
"GPT",16,"2c",4,100
"GPT",16,"2c",5,90
"GPT",16,"2c",6,100
"GPT",16,"2c",7,100
"GPT",16,"2c",8,100
"GPT",16,"2c",9,100
"GPT",16,"2c",10,100
"GPT",16,"2c",11,100
