"","Agent","AgentID","Cond","Qnum","Correctness","Confidence"
"109","Human",2,"4C",9,1,100
"110","Human",2,"4C",10,1,100
"111","Human",2,"4C",11,1,100
"112","Human",2,"4C",12,1,100
"113","Human",2,"4C",13,1,100
"114","Human",2,"4C",14,1,100
"115","Human",2,"4C",15,0,100
"116","Human",2,"4C",16,1,100
"117","Human",2,"4C",17,1,100
"118","Human",2,"4C",18,1,100
"119","Human",2,"4C",19,1,100
"120","Human",2,"4C",20,1,100
"121","Human",3,"OP",1,1,100
"122","Human",3,"OP",2,1,30
"123","Human",3,"OP",3,1,90
"124","Human",3,"OP",4,1,30
"125","Human",3,"OP",5,1,70
"126","Human",3,"OP",6,1,100
"127","Human",3,"OP",7,1,95
"128","Human",3,"OP",8,0,20
"129","Human",3,"OP",9,0,20
"130","Human",3,"OP",10,1,90
"131","Human",3,"OP",11,1,95
"132","Human",3,"OP",12,0,80
"133","Human",3,"OP",13,1,90
"134","Human",3,"OP",14,1,95
"135","Human",3,"OP",15,1,100
"136","Human",3,"OP",16,0,50
"137","Human",3,"OP",17,0,50
"138","Human",3,"OP",18,1,60
"139","Human",3,"OP",19,0,60
"140","Human",3,"OP",20,0,30
"141","Human",3,"2C",1,1,100
"142","Human",3,"2C",2,1,100
"143","Human",3,"2C",3,1,100
"144","Human",3,"2C",4,1,100
"145","Human",3,"2C",5,1,80
"146","Human",3,"2C",6,1,100
"147","Human",3,"2C",7,1,100
"148","Human",3,"2C",8,0,60
"149","Human",3,"2C",9,0,60
"150","Human",3,"2C",10,1,100
"151","Human",3,"2C",11,1,100
"152","Human",3,"2C",12,1,70
"153","Human",3,"2C",13,1,100
"154","Human",3,"2C",14,1,100
"155","Human",3,"2C",15,1,100
"156","Human",3,"2C",16,0,50
"157","Human",3,"2C",17,0,60
"158","Human",3,"2C",18,1,80
"159","Human",3,"2C",19,0,95
"160","Human",3,"2C",20,1,70
"161","Human",3,"4C",1,1,100
"162","Human",3,"4C",2,0,70
"163","Human",3,"4C",3,1,90
"164","Human",3,"4C",4,1,70
"165","Human",3,"4C",5,1,60
"166","Human",3,"4C",6,1,100
"167","Human",3,"4C",7,1,100
"168","Human",3,"4C",8,0,70
"169","Human",3,"4C",9,1,30
"170","Human",3,"4C",10,1,100
"171","Human",3,"4C",11,1,100
"172","Human",3,"4C",12,1,70
"173","Human",3,"4C",13,1,100
"174","Human",3,"4C",14,1,100
"175","Human",3,"4C",15,1,100
"176","Human",3,"4C",16,0,50
"177","Human",3,"4C",17,0,50
"178","Human",3,"4C",18,1,70
"179","Human",3,"4C",19,0,60
"180","Human",3,"4C",20,1,60
"181","Human",4,"OP",1,1,100
"182","Human",4,"OP",2,1,100
"183","Human",4,"OP",3,0,10
"184","Human",4,"OP",4,1,100
"185","Human",4,"OP",5,1,100
"186","Human",4,"OP",6,1,100
"187","Human",4,"OP",7,1,100
"188","Human",4,"OP",8,1,50
"189","Human",4,"OP",9,1,100
"190","Human",4,"OP",10,0,0
"191","Human",4,"OP",11,1,100
"192","Human",4,"OP",12,0,50
"193","Human",4,"OP",13,1,100
"194","Human",4,"OP",14,1,50
"195","Human",4,"OP",15,1,100
"196","Human",4,"OP",16,0,50
"197","Human",4,"OP",17,0,1
"198","Human",4,"OP",18,1,50
"199","Human",4,"OP",19,1,98
"200","Human",4,"OP",20,0,20
"201","Human",4,"2C",1,1,100
"202","Human",4,"2C",2,1,100
"203","Human",4,"2C",3,1,100
"204","Human",4,"2C",4,1,100
"205","Human",4,"2C",5,1,100
"206","Human",4,"2C",6,1,100
"207","Human",4,"2C",7,1,100
"208","Human",4,"2C",8,1,100
"209","Human",4,"2C",9,1,100
"210","Human",4,"2C",10,1,100
"211","Human",4,"2C",11,1,100
"212","Human",4,"2C",12,1,100
"213","Human",4,"2C",13,1,100
"214","Human",4,"2C",14,1,100
"215","Human",4,"2C",15,1,100
"216","Human",4,"2C",16,0,100
"217","Human",4,"2C",17,1,100
"218","Human",4,"2C",18,1,100
"219","Human",4,"2C",19,1,100
"220","Human",4,"2C",20,1,100
"221","Human",4,"4C",1,1,100
"222","Human",4,"4C",2,1,100
"223","Human",4,"4C",3,0,25
"224","Human",4,"4C",4,1,100
"225","Human",4,"4C",5,1,100
"226","Human",4,"4C",6,1,100
"227","Human",4,"4C",7,1,100
"228","Human",4,"4C",8,1,100
"229","Human",4,"4C",9,1,100
"230","Human",4,"4C",10,1,100
"231","Human",4,"4C",11,1,100
"232","Human",4,"4C",12,1,100
"233","Human",4,"4C",13,1,100
"234","Human",4,"4C",14,1,100
"235","Human",4,"4C",15,1,100
"236","Human",4,"4C",16,0,50
"237","Human",4,"4C",17,0,50
"238","Human",4,"4C",18,1,100
"239","Human",4,"4C",19,1,100
"240","Human",4,"4C",20,1,100
"241","Human",5,"OP",1,1,100
"242","Human",5,"OP",2,1,40
"243","Human",5,"OP",3,0,0
"244","Human",5,"OP",4,1,50
"245","Human",5,"OP",5,1,30
"246","Human",5,"OP",6,1,70
"247","Human",5,"OP",7,1,100
"248","Human",5,"OP",8,0,0
"249","Human",5,"OP",9,0,30
"250","Human",5,"OP",10,0,10
"251","Human",5,"OP",11,1,100
"252","Human",5,"OP",12,1,30
"253","Human",5,"OP",13,0,0
"254","Human",5,"OP",14,1,80
"255","Human",5,"OP",15,1,100
"256","Human",5,"OP",16,0,80
"257","Human",5,"OP",17,0,50
"258","Human",5,"OP",18,0,60
"259","Human",5,"OP",19,0,0
"260","Human",5,"OP",20,0,30
"261","Human",5,"2C",1,1,100
"262","Human",5,"2C",2,1,100
"263","Human",5,"2C",3,1,100
"264","Human",5,"2C",4,1,50
"265","Human",5,"2C",5,1,80
"266","Human",5,"2C",6,1,100
"267","Human",5,"2C",7,1,100
"268","Human",5,"2C",8,0,0
"269","Human",5,"2C",9,0,30
"270","Human",5,"2C",10,1,60
"271","Human",5,"2C",11,1,100
"272","Human",5,"2C",12,1,20
"273","Human",5,"2C",13,0,20
"274","Human",5,"2C",14,1,80
"275","Human",5,"2C",15,1,80
"276","Human",5,"2C",16,1,70
"277","Human",5,"2C",17,1,80
"278","Human",5,"2C",18,0,30
"279","Human",5,"2C",19,0,0
"280","Human",5,"2C",20,1,100
"281","Human",5,"4C",1,1,100
"282","Human",5,"4C",2,1,30
"283","Human",5,"4C",3,0,70
"284","Human",5,"4C",4,1,50
"285","Human",5,"4C",5,1,40
"286","Human",5,"4C",6,1,100
"287","Human",5,"4C",7,1,100
"288","Human",5,"4C",8,0,0
"289","Human",5,"4C",9,0,20
"290","Human",5,"4C",10,1,20
"291","Human",5,"4C",11,1,100
"292","Human",5,"4C",12,1,20
"293","Human",5,"4C",13,0,0
"294","Human",5,"4C",14,1,70
"295","Human",5,"4C",15,1,80
"296","Human",5,"4C",16,0,80
"297","Human",5,"4C",17,0,10
"298","Human",5,"4C",18,0,0
"299","Human",5,"4C",19,0,10
"300","Human",5,"4C",20,1,100
"301","Human",6,"OP",1,1,90
"302","Human",6,"OP",2,1,50
"303","Human",6,"OP",3,0,0
"304","Human",6,"OP",4,1,0
"305","Human",6,"OP",5,1,10
"306","Human",6,"OP",6,1,90
"307","Human",6,"OP",7,1,95
"308","Human",6,"OP",8,0,0
"309","Human",6,"OP",9,0,10
"310","Human",6,"OP",10,1,20
"311","Human",6,"OP",11,1,90
"312","Human",6,"OP",12,1,90
"313","Human",6,"OP",13,1,50
"314","Human",6,"OP",14,1,10
"315","Human",6,"OP",15,0,20
"316","Human",6,"OP",16,0,50
"317","Human",6,"OP",17,0,20
"318","Human",6,"OP",18,0,30
"319","Human",6,"OP",19,0,30
"320","Human",6,"OP",20,1,90
"321","Human",6,"2C",1,1,90
"322","Human",6,"2C",2,1,100
"323","Human",6,"2C",3,1,100
"324","Human",6,"2C",4,1,50
"325","Human",6,"2C",5,0,80
"326","Human",6,"2C",6,1,100
"327","Human",6,"2C",7,1,100
"328","Human",6,"2C",8,1,80
"329","Human",6,"2C",9,0,80
"330","Human",6,"2C",10,1,80
"331","Human",6,"2C",11,1,100
"332","Human",6,"2C",12,1,100
"333","Human",6,"2C",13,1,80
"334","Human",6,"2C",14,1,70
"335","Human",6,"2C",15,0,50
"336","Human",6,"2C",16,0,30
"337","Human",6,"2C",17,1,60
"338","Human",6,"2C",18,1,70
"339","Human",6,"2C",19,1,50
"340","Human",6,"2C",20,1,100
"341","Human",6,"4C",1,1,90
"342","Human",6,"4C",2,1,90
"343","Human",6,"4C",3,0,70
"344","Human",6,"4C",4,0,30
"345","Human",6,"4C",5,1,50
"346","Human",6,"4C",6,1,90
"347","Human",6,"4C",7,1,100
"348","Human",6,"4C",8,1,50
"349","Human",6,"4C",9,1,50
"350","Human",6,"4C",10,1,100
"351","Human",6,"4C",11,1,100
"352","Human",6,"4C",12,1,100
"353","Human",6,"4C",13,1,50
"354","Human",6,"4C",14,1,50
"355","Human",6,"4C",15,0,50
"356","Human",6,"4C",16,0,50
"357","Human",6,"4C",17,0,50
"358","Human",6,"4C",18,1,80
"359","Human",6,"4C",19,1,80
"360","Human",6,"4C",20,1,100
"361","Human",7,"OP",1,1,90
"362","Human",7,"OP",2,1,50
"363","Human",7,"OP",3,0,30
"364","Human",7,"OP",4,1,35
"365","Human",7,"OP",5,0,90
"366","Human",7,"OP",6,1,100
"367","Human",7,"OP",7,1,100
"368","Human",7,"OP",8,0,65
"369","Human",7,"OP",9,1,100
"370","Human",7,"OP",10,1,100
"371","Human",7,"OP",11,1,100
"372","Human",7,"OP",12,0,30
"373","Human",7,"OP",13,0,50
"374","Human",7,"OP",14,0,35
"375","Human",7,"OP",15,0,60
"376","Human",7,"OP",16,0,30
"377","Human",7,"OP",17,0,30
"378","Human",7,"OP",18,0,60
"379","Human",7,"OP",19,0,60
"380","Human",7,"OP",20,0,55
"381","Human",7,"2C",1,1,90
"382","Human",7,"2C",2,1,100
"383","Human",7,"2C",3,1,100
"384","Human",7,"2C",4,1,60
"385","Human",7,"2C",5,0,100
"386","Human",7,"2C",6,1,100
"387","Human",7,"2C",7,1,100
"388","Human",7,"2C",8,0,100
"389","Human",7,"2C",9,1,100
"390","Human",7,"2C",10,1,100
"391","Human",7,"2C",11,1,100
"392","Human",7,"2C",12,1,80
"393","Human",7,"2C",13,1,30
"394","Human",7,"2C",14,1,40
"395","Human",7,"2C",15,0,100
"396","Human",7,"2C",16,0,60
"397","Human",7,"2C",17,1,70
"398","Human",7,"2C",18,1,100
"399","Human",7,"2C",19,0,50
"400","Human",7,"2C",20,1,100
"401","Human",7,"4C",1,1,100
"402","Human",7,"4C",2,1,100
"403","Human",7,"4C",3,0,60
"404","Human",7,"4C",4,1,100
"405","Human",7,"4C",5,0,100
"406","Human",7,"4C",6,1,100
"407","Human",7,"4C",7,1,100
"408","Human",7,"4C",8,0,100
"409","Human",7,"4C",9,1,100
"410","Human",7,"4C",10,1,100
"411","Human",7,"4C",11,1,100
"412","Human",7,"4C",12,1,100
"413","Human",7,"4C",13,0,60
"414","Human",7,"4C",14,1,50
"415","Human",7,"4C",15,0,100
"416","Human",7,"4C",16,0,80
"417","Human",7,"4C",17,0,60
"418","Human",7,"4C",18,1,100
"419","Human",7,"4C",19,0,40
"420","Human",7,"4C",20,1,100
"421","Human",8,"OP",1,1,90
"422","Human",8,"OP",2,0,20
"423","Human",8,"OP",3,0,98
"424","Human",8,"OP",4,0,10
"425","Human",8,"OP",5,1,10
"426","Human",8,"OP",6,1,70
"427","Human",8,"OP",7,1,99
"428","Human",8,"OP",8,0,20
"429","Human",8,"OP",9,0,10
"430","Human",8,"OP",10,0,20
"431","Human",8,"OP",11,1,60
"432","Human",8,"OP",12,1,50
"433","Human",8,"OP",13,0,20
"434","Human",8,"OP",14,0,5
"435","Human",8,"OP",15,0,30
"436","Human",8,"OP",16,1,1
"437","Human",8,"OP",17,0,20
"438","Human",8,"OP",18,0,20
"439","Human",8,"OP",19,0,10
"440","Human",8,"OP",20,0,20
"441","Human",8,"2C",1,1,80
"442","Human",8,"2C",2,0,80
"443","Human",8,"2C",3,1,80
"444","Human",8,"2C",4,1,20
"445","Human",8,"2C",5,0,20
"446","Human",8,"2C",6,0,20
"447","Human",8,"2C",7,1,90
"448","Human",8,"2C",8,1,20
"449","Human",8,"2C",9,0,20
"450","Human",8,"2C",10,0,70
"451","Human",8,"2C",11,1,90
"452","Human",8,"2C",12,1,50
"453","Human",8,"2C",13,0,60
"454","Human",8,"2C",14,1,20
"455","Human",8,"2C",15,0,60
"456","Human",8,"2C",16,0,60
"457","Human",8,"2C",17,0,50
"458","Human",8,"2C",18,1,50
"459","Human",8,"2C",19,1,20
"460","Human",8,"2C",20,0,30
"461","Human",8,"4C",1,1,90
"462","Human",8,"4C",2,0,60
"463","Human",8,"4C",3,1,10
"464","Human",8,"4C",4,1,20
"465","Human",8,"4C",5,0,20
"466","Human",8,"4C",6,1,30
"467","Human",8,"4C",7,1,99
"468","Human",8,"4C",8,1,25
"469","Human",8,"4C",9,0,40
"470","Human",8,"4C",10,0,48
"471","Human",8,"4C",11,1,80
"472","Human",8,"4C",12,1,80
"473","Human",8,"4C",13,0,80
"474","Human",8,"4C",14,1,50
"475","Human",8,"4C",15,0,50
"476","Human",8,"4C",16,0,40
"477","Human",8,"4C",17,0,20
"478","Human",8,"4C",18,1,20
"479","Human",8,"4C",19,1,20
"480","Human",8,"4C",20,1,25
"481","Human",9,"OP",1,1,100
"482","Human",9,"OP",2,1,60
"483","Human",9,"OP",3,0,0
"484","Human",9,"OP",4,0,0
"485","Human",9,"OP",5,0,50
"486","Human",9,"OP",6,1,80
"487","Human",9,"OP",7,1,100
"488","Human",9,"OP",8,0,50
"489","Human",9,"OP",9,0,0
"490","Human",9,"OP",10,1,100
"491","Human",9,"OP",11,1,100
"492","Human",9,"OP",12,1,70
"493","Human",9,"OP",13,1,70
"494","Human",9,"OP",14,1,100
"495","Human",9,"OP",15,1,100
"496","Human",9,"OP",16,0,30
"497","Human",9,"OP",17,0,50
"498","Human",9,"OP",18,1,60
"499","Human",9,"OP",19,0,20
"500","Human",9,"OP",20,0,70
"501","Human",9,"2C",1,1,100
"502","Human",9,"2C",2,1,100
"503","Human",9,"2C",3,1,100
"504","Human",9,"2C",4,1,70
"505","Human",9,"2C",5,0,70
"506","Human",9,"2C",6,1,100
"507","Human",9,"2C",7,1,100
"508","Human",9,"2C",8,0,50
"509","Human",9,"2C",9,1,50
"510","Human",9,"2C",10,1,100
"511","Human",9,"2C",11,1,100
"512","Human",9,"2C",12,1,80
"513","Human",9,"2C",13,1,100
"514","Human",9,"2C",14,1,100
"515","Human",9,"2C",15,1,100
"516","Human",9,"2C",16,1,50
"517","Human",9,"2C",17,1,90
"518","Human",9,"2C",18,0,70
"519","Human",9,"2C",19,0,50
"520","Human",9,"2C",20,1,70
"521","Human",9,"4C",1,1,100
"522","Human",9,"4C",2,1,100
"523","Human",9,"4C",3,1,50
"524","Human",9,"4C",4,0,50
"525","Human",9,"4C",5,0,80
"526","Human",9,"4C",6,1,100
"527","Human",9,"4C",7,1,100
"528","Human",9,"4C",8,1,50
"529","Human",9,"4C",9,1,80
"530","Human",9,"4C",10,1,100
"531","Human",9,"4C",11,1,100
"532","Human",9,"4C",12,1,80
"533","Human",9,"4C",13,1,90
"534","Human",9,"4C",14,1,100
"535","Human",9,"4C",15,1,100
"536","Human",9,"4C",16,0,50
"537","Human",9,"4C",17,1,25
"538","Human",9,"4C",18,1,25
"539","Human",9,"4C",19,1,25
"540","Human",9,"4C",20,0,70
"541","Human",10,"OP",1,1,100
"542","Human",10,"OP",2,1,100
"543","Human",10,"OP",3,0,0
"544","Human",10,"OP",4,1,0
"545","Human",10,"OP",5,0,100
"546","Human",10,"OP",6,1,100
"547","Human",10,"OP",7,1,100
"548","Human",10,"OP",8,0,0
"549","Human",10,"OP",9,0,0
"550","Human",10,"OP",10,0,0
"551","Human",10,"OP",11,1,100
"552","Human",10,"OP",12,0,50
"553","Human",10,"OP",13,1,100
"554","Human",10,"OP",14,1,0
"555","Human",10,"OP",15,0,100
"556","Human",10,"OP",16,0,100
"557","Human",10,"OP",17,0,0
"558","Human",10,"OP",18,0,100
"559","Human",10,"OP",19,0,50
"560","Human",10,"OP",20,0,0
"561","Human",10,"2C",1,1,100
"562","Human",10,"2C",2,1,100
"563","Human",10,"2C",3,1,100
"564","Human",10,"2C",4,1,0
"565","Human",10,"2C",5,1,0
"566","Human",10,"2C",6,1,100
"567","Human",10,"2C",7,1,100
"568","Human",10,"2C",8,0,0
"569","Human",10,"2C",9,1,100
"570","Human",10,"2C",10,0,100
"571","Human",10,"2C",11,1,100
"572","Human",10,"2C",12,1,100
"573","Human",10,"2C",13,1,0
"574","Human",10,"2C",14,0,0
"575","Human",10,"2C",15,1,100
"576","Human",10,"2C",16,1,0
"577","Human",10,"2C",17,1,100
"578","Human",10,"2C",18,1,0
"579","Human",10,"2C",19,0,0
"580","Human",10,"2C",20,0,100
"581","Human",10,"4C",1,1,100
"582","Human",10,"4C",2,1,100
"583","Human",10,"4C",3,0,0
"584","Human",10,"4C",4,1,0
"585","Human",10,"4C",5,1,100
"586","Human",10,"4C",6,1,100
"587","Human",10,"4C",7,1,100
"588","Human",10,"4C",8,0,0
"589","Human",10,"4C",9,0,100
"590","Human",10,"4C",10,0,100
"591","Human",10,"4C",11,1,100
"592","Human",10,"4C",12,1,100
"593","Human",10,"4C",13,1,100
"594","Human",10,"4C",14,1,100
"595","Human",10,"4C",15,1,100
"596","Human",10,"4C",16,0,100
"597","Human",10,"4C",17,1,0
"598","Human",10,"4C",18,1,0
"599","Human",10,"4C",19,1,0
"600","Human",10,"4C",20,0,0
"601","Human",11,"OP",1,1,90
"602","Human",11,"OP",2,1,60
"603","Human",11,"OP",3,0,50
"604","Human",11,"OP",4,0,50
"605","Human",11,"OP",5,1,70
"606","Human",11,"OP",6,1,70
"607","Human",11,"OP",7,1,90
"608","Human",11,"OP",8,1,70
"609","Human",11,"OP",9,1,50
"610","Human",11,"OP",10,1,80
"611","Human",11,"OP",11,1,80
"612","Human",11,"OP",12,1,70
"613","Human",11,"OP",13,1,50
"614","Human",11,"OP",14,1,70
"615","Human",11,"OP",15,0,30
"616","Human",11,"OP",16,0,20
"617","Human",11,"OP",17,0,30
"618","Human",11,"OP",18,1,10
"619","Human",11,"OP",19,1,10
"620","Human",11,"OP",20,0,10
"621","Human",11,"2C",1,1,90
"622","Human",11,"2C",2,1,90
"623","Human",11,"2C",3,1,100
"624","Human",11,"2C",4,0,70
"625","Human",11,"2C",5,1,80
"626","Human",11,"2C",6,1,80
"627","Human",11,"2C",7,1,100
"628","Human",11,"2C",8,1,70
"629","Human",11,"2C",9,1,50
"630","Human",11,"2C",10,1,80
"631","Human",11,"2C",11,1,100
"632","Human",11,"2C",12,1,80
"633","Human",11,"2C",13,1,70
"634","Human",11,"2C",14,1,70
"635","Human",11,"2C",15,0,30
"636","Human",11,"2C",16,1,30
"637","Human",11,"2C",17,1,40
"638","Human",11,"2C",18,0,20
"639","Human",11,"2C",19,0,20
"640","Human",11,"2C",20,1,30
"641","Human",11,"4C",1,1,100
"642","Human",11,"4C",2,1,80
"643","Human",11,"4C",3,0,70
"644","Human",11,"4C",4,0,70
"645","Human",11,"4C",5,1,80
"646","Human",11,"4C",6,1,80
"647","Human",11,"4C",7,1,100
"648","Human",11,"4C",8,1,70
"649","Human",11,"4C",9,1,70
"650","Human",11,"4C",10,1,70
"651","Human",11,"4C",11,1,100
"652","Human",11,"4C",12,1,60
"653","Human",11,"4C",13,1,70
"654","Human",11,"4C",14,1,70
"655","Human",11,"4C",15,1,30
"656","Human",11,"4C",16,0,20
"657","Human",11,"4C",17,0,30
"658","Human",11,"4C",18,0,20
"659","Human",11,"4C",19,0,10
"660","Human",11,"4C",20,1,20
"661","Human",12,"OP",1,1,10
"662","Human",12,"OP",2,0,0
"663","Human",12,"OP",3,0,0
"664","Human",12,"OP",4,0,30
"665","Human",12,"OP",5,0,50
"666","Human",12,"OP",6,1,99
"667","Human",12,"OP",7,1,1
"668","Human",12,"OP",8,0,1
"669","Human",12,"OP",9,0,30
"670","Human",12,"OP",10,0,20
"671","Human",12,"OP",11,1,99
"672","Human",12,"OP",12,0,1
"673","Human",12,"OP",13,0,1
"674","Human",12,"OP",14,0,1
"675","Human",12,"OP",15,0,1
"676","Human",12,"OP",16,0,50
"677","Human",12,"OP",17,0,2
"678","Human",12,"OP",18,1,40
"679","Human",12,"OP",19,0,1
"680","Human",12,"OP",20,0,0
"681","Human",12,"2C",1,1,10
"682","Human",12,"2C",2,1,99
"683","Human",12,"2C",3,1,99
"684","Human",12,"2C",4,0,50
"685","Human",12,"2C",5,0,30
"686","Human",12,"2C",6,1,20
"687","Human",12,"2C",7,1,50
"688","Human",12,"2C",8,1,20
"689","Human",12,"2C",9,1,30
"690","Human",12,"2C",10,0,30
"691","Human",12,"2C",11,1,50
"692","Human",12,"2C",12,1,40
"693","Human",12,"2C",13,1,20
"694","Human",12,"2C",14,0,30
"695","Human",12,"2C",15,0,30
"696","Human",12,"2C",16,0,50
"697","Human",12,"2C",17,1,20
"698","Human",12,"2C",18,1,60
"699","Human",12,"2C",19,1,20
"700","Human",12,"2C",20,1,10
"701","Human",12,"4C",1,1,30
"702","Human",12,"4C",2,0,30
"703","Human",12,"4C",3,0,30
"704","Human",12,"4C",4,0,40
"705","Human",12,"4C",5,0,50
"706","Human",12,"4C",6,1,40
"707","Human",12,"4C",7,1,80
"708","Human",12,"4C",8,0,40
"709","Human",12,"4C",9,1,40
"710","Human",12,"4C",10,1,40
"711","Human",12,"4C",11,1,99
"712","Human",12,"4C",12,0,50
"713","Human",12,"4C",13,0,50
"714","Human",12,"4C",14,0,1
"715","Human",12,"4C",15,1,30
"716","Human",12,"4C",16,0,60
"717","Human",12,"4C",17,0,66
"718","Human",12,"4C",18,1,50
"719","Human",12,"4C",19,0,30
"720","Human",12,"4C",20,1,30
"721","Human",13,"OP",1,1,100
"722","Human",13,"OP",2,1,100
"723","Human",13,"OP",3,0,100
"724","Human",13,"OP",4,1,100
"725","Human",13,"OP",5,1,100
"726","Human",13,"OP",6,1,100
"727","Human",13,"OP",7,1,100
"728","Human",13,"OP",8,0,100
"729","Human",13,"OP",9,0,100
"730","Human",13,"OP",10,1,100
"731","Human",13,"OP",11,1,100
"732","Human",13,"OP",12,0,50
"733","Human",13,"OP",13,1,100
"734","Human",13,"OP",14,1,100
"735","Human",13,"OP",15,0,100
"736","Human",13,"OP",16,0,0
"737","Human",13,"OP",17,0,0
"738","Human",13,"OP",18,0,100
"739","Human",13,"OP",19,1,0
"740","Human",13,"OP",20,0,0
"741","Human",13,"2C",1,1,100
"742","Human",13,"2C",2,1,100
"743","Human",13,"2C",3,1,100
"744","Human",13,"2C",4,1,100
"745","Human",13,"2C",5,1,100
"746","Human",13,"2C",6,1,100
"747","Human",13,"2C",7,1,100
"748","Human",13,"2C",8,0,0
"749","Human",13,"2C",9,1,0
"750","Human",13,"2C",10,1,100
"751","Human",13,"2C",11,1,100
"752","Human",13,"2C",12,0,0
"753","Human",13,"2C",13,1,100
"754","Human",13,"2C",14,1,100
"755","Human",13,"2C",15,1,0
"756","Human",13,"2C",16,1,0
"757","Human",13,"2C",17,1,100
"758","Human",13,"2C",18,0,0
"759","Human",13,"2C",19,1,0
"760","Human",13,"2C",20,1,0
"761","Human",13,"4C",1,1,100
"762","Human",13,"4C",2,1,100
"763","Human",13,"4C",3,1,0
"764","Human",13,"4C",4,1,100
"765","Human",13,"4C",5,1,100
"766","Human",13,"4C",6,1,100
"767","Human",13,"4C",7,1,100
"768","Human",13,"4C",8,0,0
"769","Human",13,"4C",9,0,0
"770","Human",13,"4C",10,1,100
"771","Human",13,"4C",11,1,100
"772","Human",13,"4C",12,1,0
"773","Human",13,"4C",13,1,100
"774","Human",13,"4C",14,1,100
