"Agent","AgentID","Cond","Qnum","Correctness"
"Human",8,"2c",4,1
"Human",8,"2c",5,0
"Human",8,"2c",6,0
"Human",8,"2c",7,1
"Human",8,"2c",8,1
"Human",8,"2c",9,0
"Human",8,"2c",10,0
"Human",8,"2c",11,1
"Human",8,"2c",12,1
"Human",8,"2c",13,0
"Human",8,"2c",14,1
"Human",8,"2c",15,0
"Human",8,"2c",16,0
"Human",8,"2c",17,0
"Human",8,"2c",18,1
"Human",8,"2c",19,1
"Human",8,"2c",20,0
"Human",8,"4c",1,1
"Human",8,"4c",2,0
"Human",8,"4c",3,1
"Human",8,"4c",4,1
"Human",8,"4c",5,0
"Human",8,"4c",6,1
"Human",8,"4c",7,1
"Human",8,"4c",8,1
"Human",8,"4c",9,0
"Human",8,"4c",10,0
"Human",8,"4c",11,1
"Human",8,"4c",12,1
"Human",8,"4c",13,0
"Human",8,"4c",14,1
"Human",8,"4c",15,0
"Human",8,"4c",16,0
"Human",8,"4c",17,0
"Human",8,"4c",18,1
"Human",8,"4c",19,1
"Human",8,"4c",20,1
"Human",9,"op",1,1
"Human",9,"op",2,1
"Human",9,"op",3,0
"Human",9,"op",4,0
"Human",9,"op",5,0
"Human",9,"op",6,1
"Human",9,"op",7,1
"Human",9,"op",8,0
"Human",9,"op",9,0
"Human",9,"op",10,1
"Human",9,"op",11,1
"Human",9,"op",12,1
"Human",9,"op",13,1
"Human",9,"op",14,1
"Human",9,"op",15,1
"Human",9,"op",16,0
"Human",9,"op",17,0
"Human",9,"op",18,1
"Human",9,"op",19,0
"Human",9,"op",20,0
"Human",9,"2c",1,1
"Human",9,"2c",2,1
"Human",9,"2c",3,1
"Human",9,"2c",4,1
"Human",9,"2c",5,0
"Human",9,"2c",6,1
"Human",9,"2c",7,1
"Human",9,"2c",8,0
"Human",9,"2c",9,1
"Human",9,"2c",10,1
"Human",9,"2c",11,1
"Human",9,"2c",12,1
"Human",9,"2c",13,1
"Human",9,"2c",14,1
"Human",9,"2c",15,1
"Human",9,"2c",16,1
"Human",9,"2c",17,1
"Human",9,"2c",18,0
"Human",9,"2c",19,0
"Human",9,"2c",20,1
"Human",9,"4c",1,1
"Human",9,"4c",2,1
"Human",9,"4c",3,1
"Human",9,"4c",4,0
"Human",9,"4c",5,0
"Human",9,"4c",6,1
"Human",9,"4c",7,1
"Human",9,"4c",8,1
"Human",9,"4c",9,1
"Human",9,"4c",10,1
"Human",9,"4c",11,1
"Human",9,"4c",12,1
"Human",9,"4c",13,1
"Human",9,"4c",14,1
"Human",9,"4c",15,1
"Human",9,"4c",16,0
"Human",9,"4c",17,1
"Human",9,"4c",18,1
"Human",9,"4c",19,1
"Human",9,"4c",20,0
"Human",10,"op",1,1
"Human",10,"op",2,1
"Human",10,"op",3,0
"Human",10,"op",4,1
"Human",10,"op",5,0
"Human",10,"op",6,1
"Human",10,"op",7,1
"Human",10,"op",8,0
"Human",10,"op",9,0
"Human",10,"op",10,0
"Human",10,"op",11,1
"Human",10,"op",12,0
"Human",10,"op",13,1
"Human",10,"op",14,1
"Human",10,"op",15,0
"Human",10,"op",16,0
"Human",10,"op",17,0
"Human",10,"op",18,0
"Human",10,"op",19,0
"Human",10,"op",20,0
"Human",10,"2c",1,1
"Human",10,"2c",2,1
"Human",10,"2c",3,1
"Human",10,"2c",4,1
"Human",10,"2c",5,1
"Human",10,"2c",6,1
"Human",10,"2c",7,1
"Human",10,"2c",8,0
"Human",10,"2c",9,1
"Human",10,"2c",10,0
"Human",10,"2c",11,1
"Human",10,"2c",12,1
"Human",10,"2c",13,1
"Human",10,"2c",14,0
"Human",10,"2c",15,1
"Human",10,"2c",16,1
"Human",10,"2c",17,1
"Human",10,"2c",18,1
"Human",10,"2c",19,0
"Human",10,"2c",20,0
"Human",10,"4c",1,1
"Human",10,"4c",2,1
"Human",10,"4c",3,0
"Human",10,"4c",4,1
"Human",10,"4c",5,1
"Human",10,"4c",6,1
"Human",10,"4c",7,1
"Human",10,"4c",8,0
"Human",10,"4c",9,0
"Human",10,"4c",10,0
"Human",10,"4c",11,1
"Human",10,"4c",12,1
"Human",10,"4c",13,1
"Human",10,"4c",14,1
"Human",10,"4c",15,1
"Human",10,"4c",16,0
"Human",10,"4c",17,1
"Human",10,"4c",18,1
"Human",10,"4c",19,1
"Human",10,"4c",20,0
"Human",11,"op",1,1
"Human",11,"op",2,1
"Human",11,"op",3,0
"Human",11,"op",4,0
"Human",11,"op",5,1
"Human",11,"op",6,1
"Human",11,"op",7,1
"Human",11,"op",8,1
"Human",11,"op",9,1
"Human",11,"op",10,1
"Human",11,"op",11,1
"Human",11,"op",12,1
"Human",11,"op",13,1
"Human",11,"op",14,1
"Human",11,"op",15,0
"Human",11,"op",16,0
"Human",11,"op",17,0
"Human",11,"op",18,1
"Human",11,"op",19,1
"Human",11,"op",20,0
"Human",11,"2c",1,1
"Human",11,"2c",2,1
"Human",11,"2c",3,1
"Human",11,"2c",4,0
"Human",11,"2c",5,1
"Human",11,"2c",6,1
"Human",11,"2c",7,1
"Human",11,"2c",8,1
"Human",11,"2c",9,1
"Human",11,"2c",10,1
"Human",11,"2c",11,1
"Human",11,"2c",12,1
"Human",11,"2c",13,1
"Human",11,"2c",14,1
"Human",11,"2c",15,0
"Human",11,"2c",16,1
"Human",11,"2c",17,1
"Human",11,"2c",18,0
"Human",11,"2c",19,0
"Human",11,"2c",20,1
"Human",11,"4c",1,1
"Human",11,"4c",2,1
"Human",11,"4c",3,0
"Human",11,"4c",4,0
"Human",11,"4c",5,1
"Human",11,"4c",6,1
"Human",11,"4c",7,1
"Human",11,"4c",8,1
"Human",11,"4c",9,1
"Human",11,"4c",10,1
"Human",11,"4c",11,1
"Human",11,"4c",12,1
"Human",11,"4c",13,1
"Human",11,"4c",14,1
"Human",11,"4c",15,1
"Human",11,"4c",16,0
"Human",11,"4c",17,0
"Human",11,"4c",18,0
"Human",11,"4c",19,0
"Human",11,"4c",20,1
"Human",12,"op",1,1
"Human",12,"op",2,0
"Human",12,"op",3,0
"Human",12,"op",4,0
"Human",12,"op",5,0
"Human",12,"op",6,1
"Human",12,"op",7,1
"Human",12,"op",8,0
"Human",12,"op",9,0
"Human",12,"op",10,0
"Human",12,"op",11,1
"Human",12,"op",12,0
"Human",12,"op",13,0
"Human",12,"op",14,0
"Human",12,"op",15,0
"Human",12,"op",16,0
"Human",12,"op",17,0
"Human",12,"op",18,1
"Human",12,"op",19,0
"Human",12,"op",20,0
"Human",12,"2c",1,1
"Human",12,"2c",2,1
"Human",12,"2c",3,1
"Human",12,"2c",4,0
"Human",12,"2c",5,0
"Human",12,"2c",6,1
"Human",12,"2c",7,1
"Human",12,"2c",8,1
"Human",12,"2c",9,1
"Human",12,"2c",10,0
"Human",12,"2c",11,1
"Human",12,"2c",12,1
"Human",12,"2c",13,1
"Human",12,"2c",14,0
"Human",12,"2c",15,0
"Human",12,"2c",16,0
"Human",12,"2c",17,1
"Human",12,"2c",18,1
"Human",12,"2c",19,1
"Human",12,"2c",20,1
"Human",12,"4c",1,1
"Human",12,"4c",2,0
"Human",12,"4c",3,0
"Human",12,"4c",4,0
"Human",12,"4c",5,0
"Human",12,"4c",6,1
"Human",12,"4c",7,1
"Human",12,"4c",8,0
"Human",12,"4c",9,1
"Human",12,"4c",10,1
"Human",12,"4c",11,1
"Human",12,"4c",12,0
"Human",12,"4c",13,0
"Human",12,"4c",14,0
"Human",12,"4c",15,1
"Human",12,"4c",16,0
"Human",12,"4c",17,0
"Human",12,"4c",18,1
"Human",12,"4c",19,0
"Human",12,"4c",20,1
"Human",13,"op",1,1
"Human",13,"op",2,1
"Human",13,"op",3,0
"Human",13,"op",4,1
"Human",13,"op",5,1
"Human",13,"op",6,1
"Human",13,"op",7,1
"Human",13,"op",8,0
"Human",13,"op",9,0
"Human",13,"op",10,1
"Human",13,"op",11,1
"Human",13,"op",12,0
"Human",13,"op",13,1
"Human",13,"op",14,1
"Human",13,"op",15,0
"Human",13,"op",16,0
"Human",13,"op",17,0
"Human",13,"op",18,0
"Human",13,"op",19,1
"Human",13,"op",20,0
"Human",13,"2c",1,1
"Human",13,"2c",2,1
"Human",13,"2c",3,1
"Human",13,"2c",4,1
"Human",13,"2c",5,1
"Human",13,"2c",6,1
"Human",13,"2c",7,1
"Human",13,"2c",8,0
"Human",13,"2c",9,1
"Human",13,"2c",10,1
"Human",13,"2c",11,1
"Human",13,"2c",12,0
"Human",13,"2c",13,1
"Human",13,"2c",14,1
"Human",13,"2c",15,1
"Human",13,"2c",16,1
"Human",13,"2c",17,1
"Human",13,"2c",18,0
"Human",13,"2c",19,1
"Human",13,"2c",20,1
"Human",13,"4c",1,1
"Human",13,"4c",2,1
"Human",13,"4c",3,1
"Human",13,"4c",4,1
"Human",13,"4c",5,1
"Human",13,"4c",6,1
"Human",13,"4c",7,1
"Human",13,"4c",8,0
"Human",13,"4c",9,0
"Human",13,"4c",10,1
"Human",13,"4c",11,1
"Human",13,"4c",12,1
"Human",13,"4c",13,1
"Human",13,"4c",14,1
"Human",13,"4c",15,1
"Human",13,"4c",16,0
"Human",13,"4c",17,0
"Human",13,"4c",18,0
"Human",13,"4c",19,1
"Human",13,"4c",20,1
"Human",14,"op",1,1
"Human",14,"op",2,1
"Human",14,"op",3,1
"Human",14,"op",4,1
"Human",14,"op",5,1
"Human",14,"op",6,1
"Human",14,"op",7,1
"Human",14,"op",8,0
"Human",14,"op",9,1
"Human",14,"op",10,1
"Human",14,"op",11,0
"Human",14,"op",12,0
"Human",14,"op",13,1
"Human",14,"op",14,1
"Human",14,"op",15,1
"Human",14,"op",16,0
"Human",14,"op",17,0
"Human",14,"op",18,0
"Human",14,"op",19,0
"Human",14,"op",20,0
"Human",14,"2c",1,1
"Human",14,"2c",2,1
"Human",14,"2c",3,1
"Human",14,"2c",4,1
"Human",14,"2c",5,1
"Human",14,"2c",6,1
"Human",14,"2c",7,1
"Human",14,"2c",8,1
"Human",14,"2c",9,1
"Human",14,"2c",10,1
"Human",14,"2c",11,1
"Human",14,"2c",12,1
"Human",14,"2c",13,1
"Human",14,"2c",14,1
"Human",14,"2c",15,1
"Human",14,"2c",16,1
"Human",14,"2c",17,1
"Human",14,"2c",18,0
"Human",14,"2c",19,0
"Human",14,"2c",20,0
"Human",14,"4c",1,1
"Human",14,"4c",2,1
"Human",14,"4c",3,1
"Human",14,"4c",4,1
"Human",14,"4c",5,1
"Human",14,"4c",6,1
"Human",14,"4c",7,1
"Human",14,"4c",8,0
"Human",14,"4c",9,1
"Human",14,"4c",10,1
"Human",14,"4c",11,1
"Human",14,"4c",12,1
"Human",14,"4c",13,1
"Human",14,"4c",14,1
"Human",14,"4c",15,1
"Human",14,"4c",16,0
"Human",14,"4c",17,1
"Human",14,"4c",18,0
"Human",14,"4c",19,0
"Human",14,"4c",20,0
"Human",15,"op",1,1
"Human",15,"op",2,1
"Human",15,"op",3,0
"Human",15,"op",4,0
"Human",15,"op",5,1
"Human",15,"op",6,1
"Human",15,"op",7,0
"Human",15,"op",8,0
"Human",15,"op",9,0
"Human",15,"op",10,1
"Human",15,"op",11,1
"Human",15,"op",12,0
"Human",15,"op",13,0
"Human",15,"op",14,1
"Human",15,"op",15,0
"Human",15,"op",16,0
"Human",15,"op",17,0
"Human",15,"op",18,1
"Human",15,"op",19,0
"Human",15,"op",20,0
"Human",15,"2c",1,1
"Human",15,"2c",2,1
"Human",15,"2c",3,1
"Human",15,"2c",4,1
"Human",15,"2c",5,0
"Human",15,"2c",6,0
"Human",15,"2c",7,1
"Human",15,"2c",8,1
"Human",15,"2c",9,0
"Human",15,"2c",10,1
"Human",15,"2c",11,1
"Human",15,"2c",12,1
"Human",15,"2c",13,0
"Human",15,"2c",14,0
"Human",15,"2c",15,0
"Human",15,"2c",16,0
"Human",15,"2c",17,1
"Human",15,"2c",18,1
"Human",15,"2c",19,1
"Human",15,"2c",20,0
"Human",15,"4c",1,1
"Human",15,"4c",2,1
"Human",15,"4c",3,1
"Human",15,"4c",4,1
"Human",15,"4c",5,0
"Human",15,"4c",6,1
"Human",15,"4c",7,1
"Human",15,"4c",8,1
"Human",15,"4c",9,0
"Human",15,"4c",10,1
"Human",15,"4c",11,1
"Human",15,"4c",12,1
"Human",15,"4c",13,0
"Human",15,"4c",14,0
"Human",15,"4c",15,0
"Human",15,"4c",16,0
"Human",15,"4c",17,0
"Human",15,"4c",18,1
"Human",15,"4c",19,0
"Human",15,"4c",20,0
"Human",16,"op",1,1
"Human",16,"op",2,0
"Human",16,"op",3,0
"Human",16,"op",4,0
"Human",16,"op",5,1
"Human",16,"op",6,1
"Human",16,"op",7,1
"Human",16,"op",8,0
"Human",16,"op",9,0
"Human",16,"op",10,0
"Human",16,"op",11,1
"Human",16,"op",12,1
"Human",16,"op",13,1
"Human",16,"op",14,1
"Human",16,"op",15,0
"Human",16,"op",16,0
"Human",16,"op",17,0
"Human",16,"op",18,0
"Human",16,"op",19,0
"Human",16,"op",20,0
"Human",16,"2c",1,1
"Human",16,"2c",2,1
"Human",16,"2c",3,1
"Human",16,"2c",4,1
"Human",16,"2c",5,1
"Human",16,"2c",6,1
"Human",16,"2c",7,1
"Human",16,"2c",8,0
"Human",16,"2c",9,1
"Human",16,"2c",10,0
"Human",16,"2c",11,1
"Human",16,"2c",12,1
"Human",16,"2c",13,1
"Human",16,"2c",14,1
"Human",16,"2c",15,1
"Human",16,"2c",16,1
"Human",16,"2c",17,0
"Human",16,"2c",18,1
"Human",16,"2c",19,0
"Human",16,"2c",20,1
"Human",16,"4c",1,1
"Human",16,"4c",2,0
"Human",16,"4c",3,1
"Human",16,"4c",4,1
"Human",16,"4c",5,1
"Human",16,"4c",6,1
"Human",16,"4c",7,1
"Human",16,"4c",8,1
"Human",16,"4c",9,0
"Human",16,"4c",10,0
"Human",16,"4c",11,1
"Human",16,"4c",12,1
"Human",16,"4c",13,1
"Human",16,"4c",14,1
"Human",16,"4c",15,1
"Human",16,"4c",16,0
"Human",16,"4c",17,0
"Human",16,"4c",18,0
"Human",16,"4c",19,1
"Human",16,"4c",20,1
"Human",17,"op",1,1
"Human",17,"op",2,1
"Human",17,"op",3,0
"Human",17,"op",4,0
"Human",17,"op",5,0
"Human",17,"op",6,1
"Human",17,"op",7,1
"Human",17,"op",8,0
"Human",17,"op",9,1
"Human",17,"op",10,1
"Human",17,"op",11,1
"Human",17,"op",12,0
"Human",17,"op",13,0
"Human",17,"op",14,1
"Human",17,"op",15,0
"Human",17,"op",16,0
"Human",17,"op",17,0
"Human",17,"op",18,1
"Human",17,"op",19,0
"Human",17,"op",20,0
"Human",17,"2c",1,1
"Human",17,"2c",2,1
"Human",17,"2c",3,1
"Human",17,"2c",4,1
"Human",17,"2c",5,0
"Human",17,"2c",6,1
"Human",17,"2c",7,1
"Human",17,"2c",8,1
"Human",17,"2c",9,1
"Human",17,"2c",10,1
"Human",17,"2c",11,1
"Human",17,"2c",12,1
"Human",17,"2c",13,1
"Human",17,"2c",14,1
"Human",17,"2c",15,0
"Human",17,"2c",16,0
"Human",17,"2c",17,0
"Human",17,"2c",18,1
"Human",17,"2c",19,1
"Human",17,"2c",20,1
"Human",17,"4c",1,1
"Human",17,"4c",2,1
"Human",17,"4c",3,1
"Human",17,"4c",4,1
"Human",17,"4c",5,1
"Human",17,"4c",6,1
"Human",17,"4c",7,1
"Human",17,"4c",8,1
"Human",17,"4c",9,1
"Human",17,"4c",10,1
"Human",17,"4c",11,1
"Human",17,"4c",12,1
"Human",17,"4c",13,0
"Human",17,"4c",14,1
"Human",17,"4c",15,1
"Human",17,"4c",16,1
"Human",17,"4c",17,1
"Human",17,"4c",18,1
"Human",17,"4c",19,0
"Human",17,"4c",20,0
